id,stage,title,basis,entry,visible,actions,agency,cost,immediate,delayed,rule,next,branches,friction,evidence
J10,正式对局,第一次从主界面开始普通竞技场,点击链与既有主界面；不是独立PVP首局,训练已结束并到竞技场1，或1014被调用。没有证据把账号2级当作开打前置。,主界面竞技场、开始匹配按钮、宝箱槽和未解锁入口；既有界面进度9/25、成功+3。,检查卡组→点开始→等待匹配/加载→进入普通战场。,首次按钮有强指向，之后自主反复开局。,时间；NoBet（免下注开关）默认1支持免下注分析，不把旧下注金额或耐力默认为当前入场费。,生成新局内状态；普通竞技场1时限180秒配置。,胜负分别推进J12/J13，后续账号经验和奖杯进度不同步。,此时是普通竞技场，不是竞技场4才开放的独立赛季PVP。,J11。,匹配等待/取消/断线的精确策略未确认；训练敌方卡组与普通AI表都不能证明第一正式局必为真人或必胜机器人。,等待与对手表现决定第一次从脚本训练到真实规则的落差。,"GlobalTutorialInfo#1014（全局教程流程信息）:maskPoints（开始按钮目标）；GlobalArenaInfoSheet2#1001（全局竞技场信息）:countDownTime（倒计时）,trophyReward（胜利奖杯）；RemoteConfig（远程配置缓存，仅默认值）:NoBet（免下注开关）"
J11,正式对局,自主局内循环：经济、兵线和胜利选择,教程规则＋静态数值；操作策略为推导,普通对局加载完成。,金币、地块价格、兵营/矿/塔、敌方推进、计时与占地；神器未解锁时没有新增主动技能教学要求。,先观察近敌压力→分配金币→点相邻格→观察随机结果与兵线→按威胁补防御/经济→临近结束比较占地。,自主；不要求固定先翻三矿或单路推进。,一星50、二星100、三星250、未知25局内金币；矿持续产出，敌压可能使玩家没有等待高价格的余裕。,随机建筑/单位、占地和经济改变；没有确认局内剩余金币结转为局外余额。,矿的复利、持续出兵、路线控制和拆建筑/占地胜利。,拆光敌方建筑或计时结束占地更多；平局判定未知。未知格权重向量不能直接解释成80%金卡。,胜J12、负J13、离线J26。,局内缺钱→等产出/选择更低价合法格；不能打开局外金币商店就假定给本局补钱。僵局→占地路线，而非只赌传奇。,随机惊喜＋持续反馈，失败也能诊断经济过慢、前线崩溃或占地不足，但无法由一次失败确定唯一原因。,"GlobalHexInfo（全局六边形地块信息）；GlobalTutorialInfo#1001-1007,18003,19003-19008（全局教程流程信息）；GlobalArchitectureInfogameplay_improve_01#1001（全局建筑信息）；W02,W03,W06（网上交叉证据，见来源表）"
J12,结算,首次正式胜利：到账与未到账分离,普通竞技场数值＋宝箱/结算文本,普通竞技场1判胜，且当日金币额度未耗尽。未发现独立首胜加倍保证。,胜利结算、经验与进度变化、可能获得的箱子/空槽提示；胜利礼包广告入口有资源支持。,查看结算→确认返回→先启动宝箱解锁→检查账号/进度节点是否达标。,自主领取与可选广告；不能把可选礼包算必领。,无已确认领奖手续费；广告耗时间且受可用性限制。,基础金币5（首档日额度200）、经验20、奖杯+3；实际覆盖/保护/加成另核。拆建筑木材5/50是潜在旧公式分支，不计入固定首胜账。,胜利宝箱在槽位允许时待解锁；账号升级、奖杯节点、任务达标后另领。,赢一局同时动多个进度条，但它们不是同一笔产出。,J14；若经验≥门槛到J16，若本竞技场进度满到J17/J19/J23。,满槽→文本支持无空位，补偿/溢出保存未知；金币达日上限→不代表经验和奖杯也封顶。,首胜给即时满足，箱子延期发材料形成回访钩子；满槽会让继续对战的收益感下降。,"GlobalArenaInfoSheet2#1001（全局竞技场信息）:victoryGoldNoBet（免下注胜利金币）,dailyGoldLimitNoBet（金币日上限）；GameSettingConfig#NormalPVPWinExp（游戏通用规则配置·普通胜利经验）；I2Terms#SuccessPanel_NoEmptySpace（本地化文本词条）；VideoBtnConfig#1009（激励视频入口配置）"
J13,结算,首次失败：经验保留与回流选择,基础失败配置＋失败礼包文本；未实测失败结算,建筑/占地判负，或触发当前模式的断线失败规则。,失败结算、可能的失败礼包、返回/再次挑战相关界面；精确按钮顺序未录制。,确认结果→检查是经济、兵线还是占地问题→不必购买，回卡组/升级或再挑战。,自主；没有证据表明失败后必须消费才能继续。,竞技场1失败扣奖杯基数2；零分保护、降场、首次免扣未核。,普通失败经验配置10；失败金币与宝箱未确认，不能补成胜利一半。,有资格的对局次数任务仍可能前进；胜场任务不因失败增加；账号经验允许缓慢升级。,输并非所有成长归零，但攀升速度会降低。士气教程的胜+5/负-20属于后续/旧分支，不套给初始账号。,J15/J09/J10；自主暂停则J26。,VideoBtnConfig#1011有失败礼包入口，不证明每败必弹、礼包内容固定或必须看广告。连败保护/对手调整未证。,失败后同时出现增强建议与变现入口，可能把策略问题误读成付费问题；需要区分玩家感受与匹配证据。,"GameSettingConfig#NormalPVPLoseExp（游戏通用规则配置·普通失败经验）；GlobalArenaInfoSheet2#1001（全局竞技场信息）:trophyPunish（失败扣减基数）；I2Terms#DefeatPanel_DefeatPack,DefeatPanel_AFK（本地化文本词条）；VideoBtnConfig#1011（激励视频入口配置）"
J14,开箱,首次宝箱：领到、解锁、开启是三步,5组教程分支＋既有4槽/5分钟画面,已有箱子，且调度器选择相应宝箱UI分支。它可能来自训练节点或首胜，不能仅凭文案确定哪一笔。,主界面槽位或独立宝箱面板→宝箱信息/空解锁栏→解锁按钮→计时→开箱结果。,当前底部方案候选14001→14002→14003；队列方案15001→15002→15003；快速教学30001→30002→30003→30004。旧独立面板为120xx/130xx。,教学内目标点击；日常等待/广告/宝石加速为自主选择。,木箱等待5分钟配置；快速按钮可能消费广告/其他加速，但30003进入事件ChestTutorialFreeGet提示教学免费特例，不能认定第一次真的播放广告。,开始计时，尚未得到内容物；完成开启才取得卡片和材料。,木箱5、铁箱10、青铜30、黄金45、宝玉60、国王90、大师120、传奇180分钟配置；奖励编码与文本冲突未解决，不给固定箱内总额。,4个槽不是4个并行解锁位。竞技场4有宝箱队列解锁文本，实际并发数量待验证。,材料够→J07/J22；不够→J15；等待→J10或J26。部分AB分支明确回1014继续匹配。,满槽/正在解锁→先看槽位状态；广告不可用→等自然计时，不保证免费重试次数；退出后的计时续走属于合理回访预期，仍待在线核对。,第一箱缩短反馈间隔，后续时间拉长；再战与离开都成为合法下一步。,"GlobalTutorialInfo#12001-15003,30001-30004（全局教程流程信息）；GlobalBoxInfo#4001-4008（全局宝箱信息）:unLockTime（解锁时间）；GlobalTrophyProgressInfo#1003（奖杯节点信息）:UnlockFunctionName（解锁功能名）；VideoBtnConfig#1006（激励视频入口配置）"
J15,资源卡点,升级/探索/召唤资源不足时分流,不足文本与消费规则；跳转优先级为推导,玩家尝试升级卡牌、解锁技能、探索领地、神器培养或召唤时材料不够。,金币、木材、水晶、碎片、符文石不足提示或对应资源进度。,先确认缺的资源与用途→查已可领箱子/节点/任务→继续对战或领地收取→再决定是否看可选广告/兑换。,自主支路；没有配置证明必须购买。,筹资耗时间；兑换可能消耗宝石/通用卡。不要为完成消耗任务而无目标花掉珍贵资源。,领取/兑换到账；不足时原操作是否保证不扣部分材料须面板确认。,箱子计时、挂机、下一日任务提供后续补充，不保证当场解决。,局外金币缺口靠局外来源；卡片缺口可用同品质通用卡；技能另要符文石；神器另要水晶/碎片。,回对应培养节点，或J10继续竞技场；可以直接J26退出。,既没有合适通用卡也没有可领奖励→等待是可行选择；缺新卡不能用已拥有卡通用片解锁。广告失败不等于资源到账。,多种资源把一条升级线分成数个门槛，促使玩家接触局外系统；若提示只导商店，会弱化免费来源的可理解性。,"I2Terms#TipPanel_NotEnoughMoney,TipPanel_NotEnoughWood,TipPanel_NotEnoughDivineCrystal,TipPanel_NotEnoughNumber,AbilitySystem2_NotEnoughStone（本地化文本词条）；GlobalShopInfo（全局商店信息）；GlobalTutorialInfo#9009（全局教程流程信息）"
J16,账号成长,第一次账号升级与获得新卡机会,经验门槛与奖励行；起始奖励消费点未知,账号经验达到2级100。若零经验起步、每胜20/负10且仅靠普通对战，需5胜到10负之间的5～10局。,账号等级提升、升级奖励/新卡或宝箱预览；当前既有界面60/100支持早期门槛。,确认升级→领取该等级奖励→检查新卡是否可入阵→按需调整J09。,经验累积自动，奖励是否自动发还是需点击领取待核。,经验达到阈值；不是花同卡碎片升卡牌等级。,GlobaUpgradeReward的ID2配置5017:1；5017从未拥有卡随机，品质权重40/30/20/10。精确应用行偏移/初始ID1是否已消费未实测。,ID3木箱，ID4随机新卡，ID5木箱，ID6随机新卡。后续账号经验列究竟累计阈值还是逐级需求未定，不给精确一周等级。,账号等级、卡牌等级、竞技场档位是三条独立轴。新卡让收藏横向扩展，碎片让旧卡纵向成长。,J09/J14/J10。,某品质未拥有池为空时回退规则未知；不能承诺任何等级必出指定卡，也不能把cardUnlockLevel数字直接当成该账号等级必送卡。,输局仍得经验使收藏不断推进；但随机新卡未必能替换已培养主力。,"UserLevelInfo#10002（账号等级经验信息）:exp（经验字段）；GlobaUpgradeReward#1-6（账号升级奖励配置）；GlobalRandomHeroCardInfo#5017（随机英雄卡牌奖励信息）:randomFromOwnedCards（从已拥有卡抽取与否）,randomProbability（品质权重）；GameSettingConfig#NormalPVPWinExp,NormalPVPLoseExp（游戏通用规则配置）"
J17,领地开放,竞技场2：首次领地探索,界面解锁门槛＋两组教程,普通竞技场1完成门槛25进度、进入竞技场2后，领地可解锁。具体进度溢出处理未知。,领地入口解除锁定→领主塔属性→可探索格。,进入领地→查看塔属性→点击指定可买格→用木材探索/建造→看属性变化。教程4001～4005或6001～6005，不是连续做两遍。,首次探索有强指向；后续探索路线自主。,木材；首称号hexPrice=50是对应档位探索费用候选，实际首教学是否减免待核。,建筑提供塔攻击、生命或局内金币产量加成；首格具体建筑需地图/界面复核，不能保证先加金币。,领主塔更强、挂机材料流形成；奖励通行证另领，不与每次翻格合并。,领地不是装饰，是把木材转为对战塔属性及长期资源供给。,J18，并回J10体验成长反馈。,木材不足→J15；旧400x引用旧主城界面，新600x引用新界面，默认开关无法单独证明当前播放哪套。,从只关心卡牌转向全局底盘，资源维度首次显著增加。,"既有报告2.4（领地锁定页竞技场2）；GlobalFeatureUnlockInfo#Feature_Fief（全局功能解锁信息）:type（类型）=2,args（参数）=2；GlobalTutorialInfo#4001-4005,6001-6005（全局教程流程信息）；GlobalMainCityTitleInfo（领地称号与收益信息）"
J18,领地成长,挂机领取与木材再投资,称号速率与上限；领取调度未实测,领地/挂机系统实际开放，积累时间达到可领要求；最低领取间隔未确认。,挂机收益累计、金币/木材/水晶与可能的翻倍入口。,回城检查→领取已累积资源→按需用木材探索→保留金币给核心卡、水晶给神器。,自主，广告翻倍不是普通领取必要条件。,等待；进一步探索花木材。,首档每分钟金币1、木材0.5、水晶0.125配置；领到多少取决于实际有效累计分钟和加成。,上限480分钟；基础满8小时480金币/240木材/60水晶。更高称号提高速率，不能把8小时按一整天乘3算未登录收益。,存储有上限，领地探索与定期回访构成正反馈。,J07/J17/J21；资源未够→J26稍后回归。,离线计时起点、服务器校时、广告翻倍失败补发未知；无证据存在额外离线补偿礼包。,为短会话提供低操作收益；让玩家在不打完整对局时仍能感觉成长。,GlobalMainCityTitleInfo（领地称号与基础收益信息）:maxRewardMins（挂机累计分钟上限）及收益字段；VideoBtnConfig#1014（激励视频入口配置）:ReportLable（报告标签）=Idle_Double（挂机翻倍）
J19,神器开放,竞技场3：第一次认识神器,功能表/奖励节点；解锁过程未实测,竞技场3为核心门槛；召唤/卡牌子入口另有RequireUnlocked=1020，命名空间未知，不能解释为竞技场20。,神器入口、冲锋号角说明、装备区、召唤入口。,按实际引导进入神器页→看当前装备→回战斗。旧链2001→11001→11002→11003→2003；新版更新链20003～20014未证实是新号同一路径。,说明与目标点击；没有证据要求付费获得首件神器。,看说明无消耗；首件冲锋号角的授予时点/数量未确认。,拥有/装备主动技能载体；旧文案确认介绍冲锋号角，不代表当前号必收到同一默认件。,新战斗维度J20，长期培养J21。,神器提供额外战术动作，不改变普通卡牌自动出兵的底层循环。,J20/J21/J10。,子入口仍锁→核对前置完成而非只看竞技场数字；神器18件启用不等于立即都可收集。,在基本翻格熟悉后加入主动技能，分散首场认知负担。,"GlobalFeatureUnlockInfo#Feature_Artifacts,Feature_ArtifactsCard,Feature_ArtifactsSummon（全局功能解锁信息）；GlobalTrophyProgressInfo#1002（奖杯进度节点信息）；GlobalTutorialInfo#2001,11001-11003,2003,20003-20014（全局教程流程信息）"
J20,神器战斗,第一次充能完成并拖拽释放,新版教程明确规则；当前账号尚未实战验证,装备可用神器进入对局，调度20000/20002；充能需翻格达到对应累计次数。,神器技能图标、充能状态与拖拽指示。,读20000→20001说明→持续翻格至第8次→充能完成时拖拽使用；之后累计到20、36次分别再充满。,首次释放有拖拽教学，其余时机和位置自主。,充能依赖翻格投入局内金币与机会成本；没有证据每次释放扣局外宝石。,对应神器效果作用于战场；未解析的目标范围、额外冷却不可补猜。,每局最多3次；短局或经济不足可能根本达不到第二/三次。,8/20/36是累计翻格次数，后两段增量12/16；不是第8/20/36秒。,J11继续战斗；结算后J21调整培养。,没充满→继续翻格或正常打完；拖放无效→目标/状态需界面核对；旧30秒/每局1次不并入新版。,翻格同时推进经济、占地和技能充能，给主动决策明确节奏点。,"GlobalTutorialInfo#20000-20002（全局教程流程信息）:tutorialActionType（交互类型）=1,slideAnimPoints（拖拽起终点）；RemoteConfig（远程配置缓存）:NewArtifactsPlay（新版神器玩法开关）=1"
J21,神器成长,召唤、升级与升星形成材料循环,新旧教学区分；更新补偿不视为新号奖励,神器与召唤入口已解锁，已有神器或相关材料。,升级、升星、召唤、十连/百连选项。,查看神器详情→查看升级和升星需求→选择可领免费/广告召唤或保留资源→按需提升→装备合适神器。,20006/20009/20012/20013是说明型，不代表脚本强制升级、升星、看广告或付费抽卡。,升级水晶、升星碎片；新版教程每6小时可看广告免费十连，宝石十/百连另花宝石。具体价格与免费状态看当前面板。,召唤取得水晶或神器相关材料，升级/升星改变属性；新手首抽是否固定战争号角不能由旧3006目标推为当前保证。,召唤经验等级提高池子品质分布，升阶限制进一步升级；不是短期必满系统。,水晶、碎片、召唤经验三者角色不同；普通池与限定池不同。,J20验证战斗效果，J18补水晶，J24看活动材料。,广告不可用→等待/退出；无宝石→不抽也可继续普通战斗；ArtifactResourceReturn事件更像版本迁移资源返还，不能当所有新号固定补偿。,多个时钟与材料门槛制造中长期回访理由，也可能造成界面理解负担。,"GlobalTutorialInfo#3001-3007,20003-20014（全局教程流程信息）；GlobalSummonInfo（全局神器召唤信息）；PropUpgradeInfoConfig（神器等级升级配置）;PropRankUpInfoConfig（神器升星升阶配置）"
J22,卡牌技能,第一次跨过卡牌6级技能门槛,新技能价格表＋提示链；非账号6级,某卡达到6级且存在对应技能；后续门槛12/18级。是否在达到时自动弹引导未确认。,卡牌额外技能入口、技能升级按钮、符文石余额/不足提示。,10001点击技能入口→10002读升级说明→自主比较效果与成本→有材料则升级技能。,教程强制看入口，第二步是说明型，不证明强制付符文石。,首技能三档符文石100/200/300；第二技能300/600/900；第三技能600/1000/1500。卡牌1→6累计金币1125另算。,购买技能档位才获得相应效果；仅卡牌到6级不等于技能已强化满。,12/18级成为长期明确目标，改变培养优先级。,等级门槛＋符文石门槛叠加；不是所有卡都拥有相同数量技能。,J11试用；缺符文石J15/J24/J25。,旧天赋树与新技能可能并存于资源，当前优先新系统；重置石是否返符文石未知，不用它试错验证。,从纯数值升级转到能力变化，但高阶金币三次增长会显著拉长养成。,"GlobalUpgradeTalentPriceInfoabilities_in_advance（额外技能解锁与价格信息·提前开放分支）；GlobalTutorialInfo#10001,10002（全局教程流程信息）；GlobalCardTalent2Info（卡牌与新技能对应信息）；W07（社区经验交叉核对）"
