caller	callee	instruction
25409	1062	113a5ae: 10 a6 08                   |     call 1062 <j1070>
25409	9246	113a5d0: 10 9e 48                   |     call 9246 <j19173>
25409	25336	113a781: 10 f8 c5 01                |     call 25336 <j71412>
25409	9270	113a85d: 10 b6 48                   |     call 9270 <j19205>
25409	11688	113a957: 10 a8 5b                   |   call 11688 <j25840>
25409	1004	113aa1a: 10 ec 07                   |   call 1004 <j1003>
25409	11749	113aa32: 10 e5 5b                   |   call 11749 <j25908>
25510	997	11472ab: 10 e5 07                   |   call 997 <j996>
25510	998	114730c: 10 e6 07                   |     call 998 <j997>
25510	15775	1147374: 10 9f 7b                   |   call 15775 <j38756>
25510	998	114738d: 10 e6 07                   |     call 998 <j997>
25510	15765	11473e8: 10 95 7b                   |   call 15765 <j38746>
25510	15791	1147443: 10 af 7b                   |   call 15791 <j38772>
25588	997	115aca9: 10 e5 07                   |   call 997 <j996>
25588	997	115acb1: 10 e5 07                   |   call 997 <j996>
25588	997	115acb9: 10 e5 07                   |   call 997 <j996>
25588	997	115acc1: 10 e5 07                   |   call 997 <j996>
25588	997	115acc9: 10 e5 07                   |   call 997 <j996>
25588	997	115acd1: 10 e5 07                   |   call 997 <j996>
25588	998	115ad92: 10 e6 07                   |             call 998 <j997>
25588	1305	115ada2: 10 99 0a                   |           call 1305 <j1403>
25588	17	115ae35: 10 11                      |           call 17 <fimport$17>
25588	19	115af4a: 10 13                      |                                       call 19 <fimport$19>
25588	5	115b08f: 10 05                      |                                       call 5 <fimport$5>
25588	12	115b0cd: 10 0c                      |                                     call 12 <fimport$12>
25588	13	115b123: 10 0d                      |                                     call 13 <fimport$13>
25588	4	115b168: 10 04                      |                                       call 4 <fimport$4>
25588	4	115b1a3: 10 04                      |                                       call 4 <fimport$4>
25588	4	115b1d2: 10 04                      |                                       call 4 <fimport$4>
25588	16	115b22b: 10 10                      |                                     call 16 <fimport$16>
25588	5	115b262: 10 05                      |                                       call 5 <fimport$5>
25588	6	115b29a: 10 06                      |                                       call 6 <fimport$6>
25588	13	115b2d2: 10 0d                      |                                       call 13 <fimport$13>
25588	1195	115b2f8: 10 ab 09                   |                                     call 1195 <j1249>
25588	0	115b30a: 10 00                      |                                   call 0 <fimport$0>
25588	1	115b30e: 10 01                      |                                   call 1 <fimport$1>
25588	0	115b31a: 10 00                      |                                 call 0 <fimport$0>
25588	0	115b326: 10 00                      |                               call 0 <fimport$0>
25588	0	115b332: 10 00                      |                             call 0 <fimport$0>
25588	0	115b33e: 10 00                      |                           call 0 <fimport$0>
25588	0	115b34a: 10 00                      |                         call 0 <fimport$0>
25588	1	115b356: 10 01                      |                       call 1 <fimport$1>
25588	0	115b362: 10 00                      |                     call 0 <fimport$0>
25588	0	115b36e: 10 00                      |                   call 0 <fimport$0>
25588	1	115b37a: 10 01                      |                 call 1 <fimport$1>
25588	0	115b386: 10 00                      |               call 0 <fimport$0>
25588	1	115b38e: 10 01                      |               call 1 <fimport$1>
25588	9	115b398: 10 09                      |             call 9 <fimport$9>
25588	8	115b3a1: 10 08                      |             call 8 <fimport$8>
25588	7	115b3bc: 10 07                      |             call 7 <fimport$7>
25588	1195	115b3e1: 10 ab 09                   |             call 1195 <j1249>
25588	1014	115b43f: 10 f6 07                   |           call 1014 <j1014>
25588	1004	115b4ae: 10 ec 07                   |           call 1004 <j1003>
25588	1401	115b4b8: 10 f9 0a                   |           call 1401 <j1531>
25588	25409	115b578: 10 c1 c6 01                |           call 25409 <j71493>
25588	11698	115b5de: 10 b2 5b                   |             call 11698 <j25851>
25588	11720	115b5fe: 10 c8 5b                   |           call 11720 <j25875>
25588	10	115b60f: 10 0a                      |       call 10 <fimport$10>
25588	1	115b613: 10 01                      |       call 1 <fimport$1>
25588	2	115b62b: 10 02                      |     call 2 <fimport$2>
25588	0	115b64b: 10 00                      |     call 0 <fimport$0>
25588	1	115b64e: 10 01                      |     call 1 <fimport$1>
25588	1012	115b662: 10 f4 07                   |   call 1012 <j1012>
25588	11	115b669: 10 0b                      | call 11 <fimport$11>
26069	997	11abd96: 10 e5 07                   |   call 997 <j996>
26069	997	11abd9e: 10 e5 07                   |   call 997 <j996>
26069	997	11abda6: 10 e5 07                   |   call 997 <j996>
26069	1011	11abdcc: 10 f3 07                   |   call 1011 <j1011>
26069	999	11abded: 10 e7 07                   |   call 999 <j998>
26069	998	11abdfd: 10 e6 07                   |   call 998 <j997>
26069	999	11abe19: 10 e7 07                   |   call 999 <j998>
26069	998	11abe40: 10 e6 07                   |   call 998 <j997>
26069	997	11abe54: 10 e5 07                   |   call 997 <j996>
26069	997	11abe5c: 10 e5 07                   |   call 997 <j996>
26069	1017	11abe76: 10 f9 07                   | call 1017 <j1017>
26069	998	11abe8f: 10 e6 07                   |   call 998 <j997>
26069	1022	11abe9b: 10 fe 07                   |   call 1022 <j1023>
26069	1017	11abea9: 10 f9 07                   |   call 1017 <j1017>
26069	998	11abecf: 10 e6 07                   |     call 998 <j997>
26069	1015	11abed9: 10 f7 07                   |   call 1015 <j1015>
26069	998	11abf29: 10 e6 07                   |     call 998 <j997>
26069	1015	11abf33: 10 f7 07                   |   call 1015 <j1015>
26069	15815	11abf52: 10 c7 7b                   |   call 15815 <j38798>
28184	997	129c9f3: 10 e5 07                   |   call 997 <j996>
28184	997	129c9fb: 10 e5 07                   |   call 997 <j996>
28184	997	129ca03: 10 e5 07                   |   call 997 <j996>
28184	997	129ca0b: 10 e5 07                   |   call 997 <j996>
28184	997	129ca13: 10 e5 07                   |   call 997 <j996>
28184	1072	129ca4e: 10 b0 08                   |   call 1072 <j1080>
28184	1003	129cad7: 10 eb 07                   |       call 1003 <j1002>
28184	1003	129cb64: 10 eb 07                   |       call 1003 <j1002>
28184	998	129cb95: 10 e6 07                   |       call 998 <j997>
28184	1015	129cba1: 10 f7 07                   |       call 1015 <j1015>
28184	1038	129cc3c: 10 8e 08                   |           call 1038 <j1040>
43532	997	18661fd: 10 e5 07                   |   call 997 <j996>
43532	997	1866205: 10 e5 07                   |   call 997 <j996>
43532	997	186620d: 10 e5 07                   |   call 997 <j996>
43532	997	1866215: 10 e5 07                   |   call 997 <j996>
43532	997	186621d: 10 e5 07                   |   call 997 <j996>
43532	998	18662c7: 10 e6 07                   |   call 998 <j997>
43532	1305	18662d7: 10 99 0a                   | call 1305 <j1403>
43532	4	1866347: 10 04                      |                                                       call 4 <fimport$4>
43532	3	186637d: 10 03                      |                                                     call 3 <fimport$3>
43532	16	1866433: 10 10                      |                                                     call 16 <fimport$16>
43532	0	1866466: 10 00                      |                                                   call 0 <fimport$0>
43532	0	1866472: 10 00                      |                                                 call 0 <fimport$0>
43532	0	186647e: 10 00                      |                                               call 0 <fimport$0>
43532	0	186648a: 10 00                      |                                             call 0 <fimport$0>
43532	19	1866506: 10 13                      |                                           call 19 <fimport$19>
43532	0	186657c: 10 00                      |                                           call 0 <fimport$0>
43532	1	1866581: 10 01                      |                                         call 1 <fimport$1>
43532	9	186658c: 10 09                      |                                         call 9 <fimport$9>
43532	8	1866593: 10 08                      |                                         call 8 <fimport$8>
43532	7	18665b2: 10 07                      |                                         call 7 <fimport$7>
43532	12	18665e6: 10 0c                      |                                       call 12 <fimport$12>
43532	4	1866618: 10 04                      |                                           call 4 <fimport$4>
43532	4	186666f: 10 04                      |                                           call 4 <fimport$4>
43532	4	18666ae: 10 04                      |                                           call 4 <fimport$4>
43532	3	18666e4: 10 03                      |                                         call 3 <fimport$3>
43532	16	1866741: 10 10                      |                                         call 16 <fimport$16>
43532	0	1866775: 10 00                      |                                       call 0 <fimport$0>
43532	0	1866781: 10 00                      |                                     call 0 <fimport$0>
43532	1	1866785: 10 01                      |                                     call 1 <fimport$1>
43532	2	186679e: 10 02                      |                                   call 2 <fimport$2>
43532	0	18667c4: 10 00                      |                                 call 0 <fimport$0>
43532	0	18667d0: 10 00                      |                               call 0 <fimport$0>
43532	0	18667dc: 10 00                      |                             call 0 <fimport$0>
43532	0	18667e8: 10 00                      |                           call 0 <fimport$0>
43532	1	18667ec: 10 01                      |                           call 1 <fimport$1>
43532	9	18667f7: 10 09                      |                           call 9 <fimport$9>
43532	8	18667fe: 10 08                      |                           call 8 <fimport$8>
43532	7	186681d: 10 07                      |                           call 7 <fimport$7>
43532	12	1866851: 10 0c                      |                         call 12 <fimport$12>
43532	4	1866884: 10 04                      |                             call 4 <fimport$4>
43532	0	18668a7: 10 00                      |                           call 0 <fimport$0>
43532	0	18668c1: 10 00                      |                       call 0 <fimport$0>
43532	1	18668c5: 10 01                      |                       call 1 <fimport$1>
43532	2	18668de: 10 02                      |                     call 2 <fimport$2>
43532	44	186697f: 10 2c                      |                   call 44 <fimport$44>
43532	1195	18669a6: 10 ab 09                   |                 call 1195 <j1249>
43532	0	18669b1: 10 00                      |               call 0 <fimport$0>
43532	1	18669b6: 10 01                      |             call 1 <fimport$1>
43532	9	18669c0: 10 09                      |           call 9 <fimport$9>
43532	8	18669c9: 10 08                      |           call 8 <fimport$8>
43532	7	18669e4: 10 07                      |           call 7 <fimport$7>
43532	1195	1866a09: 10 ab 09                   |           call 1195 <j1249>
43532	1012	1866a13: 10 f4 07                   |           call 1012 <j1012>
43532	10	1866a22: 10 0a                      |       call 10 <fimport$10>
43532	1	1866a26: 10 01                      |       call 1 <fimport$1>
43532	2	1866a3e: 10 02                      |     call 2 <fimport$2>
43532	11	1866a5e: 10 0b                      |     call 11 <fimport$11>
43532	0	1866a64: 10 00                      |   call 0 <fimport$0>
43532	1	1866a67: 10 01                      |   call 1 <fimport$1>
48173	996	19df21e: 10 e4 07                   | call 996 <wasm_split.wait>
